h,a,y,relative_error
4.5,1.23828e0,1.698836545359901143986251967662387859548998824863101572494602039804080396456954209382183519060877173516403817652561383712222877334961721338595077239341e-6,1.00099e-8
4.5,1.54725e0,1.698836562363330067021627887073543648370369711976571111263602373442762640204824452193426406150165113057834106947203483474335922446250363039312085804618e-6,1.00076e-12
4.5,1.80740e0,1.698836562365030030755251814546133552327922702446477703404392262643149381483952713473439792893331076802641416850070551307451629321411019879351041613817e-6,1.00121e-16
4.5,2.03635e0,1.698836562365030200826716899618394375054883616193552001257790608485011898447065960207554365961678237470443547946937271591948605908828119042311335155307e-6,1.00114e-20
4.5,2.24311e0,1.698836562365030200843722893327807529419642402806747966971490330007098821397410153235868757706464559617160650998463590227498866246106014142672046483929e-6,1.00193e-24
4.5,2.43311e0,1.698836562365030200843724595265662688333427522236849952449972774637145410010741622367002192751646170529274906032650979095856115150096637818756687537703e-6,1.00127e-28
4.5,2.60981e0,1.698836562365030200843724595435744758094021190319387218474051822592600319651821084539457114432819296788129237233840789251556527768686709717402066583116e-6,1.00056e-32
4.5,2.77561e0,1.698836562365030200843724595435761754349179974499176955430756511129272235897007333002673339913957531173022758838162877860675363836965392758705346854199e-6,1.00257e-36
4.5,2.93240e0,1.698836562365030200843724595435761756052212635859209617136786515000489149295256243822726335718507162402224799744251471946561838944466482519256212716637e-6,1.00014e-40
4.75,1.17527e0,5.085416161920616595137288526928028372264713668709562979185939266587494323149581324537083752935439867729226539173567695212087611561096592878031482410272e-7,1.00135e-8
4.75,1.46788e0,5.085416212838424124473424499867342836844648429494617787855971980206003070065813975871311170467014220629218823107652130261910134663288532255640222493956e-7,1.00124e-12
4.75,1.71423e0,5.085416212843515347221555510648415948971135909239915799837724902860802639684889849458884177703055348351852893279148886411039587003903671077705163460722e-7,1.00105e-16
4.75,1.93102e0,5.085416212843515856245029392679000608099815143148758266270219188016828637109468837308012584819617313948946848591374443300025241815602854921527371853346e-7,1.00055e-20
4.75,2.12680e0,5.085416212843515856295906466121519568649728681187888939723803418970701303927322256950319384125138423428125020270418528511887555083958845386159341457116e-7,1.00147e-24
4.75,2.30669e0,5.085416212843515856295911558505736814917949313200770974866828129786584083384305413077269479178911172373931818103316986812533974623204030524497403241954e-7,1.00163e-28
4.75,2.47399e0,5.085416212843515856295911559015058619688789746539058743554578804149966964211724146058341198671251794972699478111016091382593926478648103510268929070254e-7,1.00248e-32
4.75,2.63107e0,5.085416212843515856295911559015109594874315524936194197620690155520027696610189501758945548252080051181032263610941145691897283621653477106519179639557e-7,1.00054e-36
4.75,2.77950e0,5.085416212843515856295911559015109599961979504227749572501161091500123183747758819701674726660976768219477399415792113283697213676663238962151392336368e-7,1.00075e-40
5,1.11841e0,1.433257845052889554773313748473326743832288052780345113364780760116622966002017203047081970259328287096248024514549332966558438099239876016712978491108e-7,1.00073e-8
5,1.39629e0,1.433257859394534227510750846441932570912062272265404511009108494022727385641932773191526822024988275061630219026263593050698026184122100227296418960313e-7,1.00145e-12
5,1.63022e0,1.433257859395969414844070859032439728474900653606846403023041583645370030395754357846804121451113300582102257374801166683770070869136605146616928245109e-7,1.00139e-16
5,1.83608e0,1.433257859395969558354411807329272146979086808368426330467392977487219293955346805308742719046444546515594160310453794071443918410395811910030888374231e-7,1.00121e-20
5,2.02202e0,1.433257859395969558368760230508940957854659147524200133096604697584770202028771213021280771768674343016523380891840747597465380366350280621088341288825e-7,1.00042e-24
5,2.19282e0,1.433257859395969558368761664229634945279398730400168318769966477713571527483197751574333131991763521200372040643382793470215235825991918171894191852071e-7,1.00186e-28
5,2.35171e0,1.433257859395969558368761664373212411749387413040370355478466321432868228429301126073458118009310100774108458888309679635189684214919221584710432800621e-7,1.00174e-32
5,2.50083e0,1.433257859395969558368761664373226767835572257678241707234321131131609077832475986316323677192676153406001658710373862725514970955016871331694634859617e-7,1.00229e-36
5,2.64180e0,1.433257859395969558368761664373226769271971397638526336015430615939570571204022908405021021549716046581876112372049808318065899929625510713838098754868e-7,1.00240e-40
5.25,1.06678e0,3.802480220175671989353722303660882719269045555099980383829703845704681639124741824203800341820045710915877273335329486354059384236411653804314059986982e-8,1.00115e-8
5.25,1.33143e0,3.802480258240554110449326905975158076265112583192971928973458869451649561717004132982631962272996844934864328022762519401679913517248105484100373955988e-8,1.00014e-12
5.25,1.55413e0,3.802480258244356745062268438094679557818375524340162600836484523507754347229797942816829614648201027863624608470155769382733210089703710068753670681444e-8,1.00069e-16
5.25,1.75009e0,3.802480258244357125534958046920208067369884603980191624795602770456270555313562854483950072960429028325505146034112888924389951032020103168747045540091e-8,1.00131e-20
5.25,1.92708e0,3.802480258244357125573028722329244056491370240378620360601968156911796818386576746518627879695655417625507353505044971672488926131310195178785372944973e-8,1.00182e-24
5.25,2.08970e0,3.80248025824435712557303253134219323968711646069913684635314963189472360781381945531696474147187414443080626763499525346418075093535503110196274887522e-8,1.00243e-28
5.25,2.24098e0,3.802480258244357125573032531723325788587344487184888994496443005434627238183179858053120576284301803028984947766838476290741077276562572233133478066914e-8,1.00176e-32
5.25,2.38295e0,3.802480258244357125573032531723363876574790809296078954234029088348738251428556158162714840279681780943982310418045376650621432449340353281454065729665e-8,1.00208e-36
5.25,2.51716e0,3.80248025824435712557303253172336388038480988372488591080609493421677511399444807478242669065815269375392920484474502549537679689796064101581000737322e-8,1.00230e-40
